Weather,Event,Skin_Tone,Outfit
Hot,Party,Dark,Polo T-shirt + Trousers
Moderate,Wedding,Light,Waistcoat Set
Moderate,Office,Light,Business Casual Blazer + Chinos
Moderate,Casual,Medium,T-shirt + Jeans
Hot,Party,Light,Polo T-shirt + Trousers
Moderate,Gym,Dark,T-shirt + Track Pants
Hot,Casual,Medium,Graphic Tee + Cargo Shorts
Cold,Party,Light,Leather Jacket + Jeans
Moderate,Party,Dark,Casual Blazer + Jeans
Hot,Wedding,Dark,Pastel Waistcoat Set
Cold,Wedding,Light,Sherwani + Shawl
Rainy,Office,Light,Dark Shirt + Trousers + Raincoat
Rainy,Casual,Medium,Dark T-shirt + Nylon Pants
Moderate,Gym,Light,Polyester Tee + Joggers
Rainy,Casual,Medium,Waterproof Jacket + Shorts
Moderate,Casual,Dark,Checkered Shirt + Chinos
Cold,Gym,Dark,Hoodie + Joggers
Moderate,Party,Dark,Party Wear Shirt + Chinos
Hot,Casual,Dark,Linen Shirt + Jeans
Cold,Office,Dark,Suit with Tie
Rainy,Party,Dark,Short Sleeve Shirt + Dark Jeans
Rainy,Wedding,Light,Dark Suit (Avoid Velvets)
Moderate,Casual,Light,Denim Shirt + Khakis
Moderate,Wedding,Light,Traditional Kurta Pajama
Moderate,Office,Dark,Formal Shirt + Trousers
Moderate,Gym,Dark,T-shirt + Track Pants
Cold,Gym,Light,Hoodie + Joggers
Cold,Office,Dark,Formal Shirt + Sweater
Rainy,Gym,Light,Synthetic T-shirt + Shorts
Rainy,Casual,Light,Waterproof Jacket + Shorts
Moderate,Gym,Light,Polyester Tee + Joggers
Cold,Party,Dark,Leather Jacket + Jeans
Hot,Office,Medium,Half-Sleeve Formal Shirt
Hot,Gym,Medium,Sleeveless Tank + Shorts
Rainy,Party,Medium,Short Sleeve Shirt + Dark Jeans
Moderate,Wedding,Light,Traditional Kurta Pajama
Hot,Party,Dark,Printed Half-Sleeve Shirt + Jeans
Rainy,Office,Dark,Dark Shirt + Trousers + Raincoat
Moderate,Office,Light,Business Casual Blazer + Chinos
Moderate,Party,Dark,Solid Shirt + Trousers
Hot,Wedding,Light,Linen Suit
Moderate,Office,Medium,Business Casual Blazer + Chinos
Hot,Party,Medium,Linen Blazer + T-shirt
Rainy,Wedding,Light,Short Kurta + Trousers
Cold,Casual,Light,Denim Jacket + Jeans
Moderate,Wedding,Dark,Traditional Kurta Pajama
Cold,Office,Medium,Turtleneck + Trousers
Cold,Wedding,Dark,Sherwani + Shawl
Rainy,Office,Medium,Dark Shirt + Trousers + Raincoat
Rainy,Party,Medium,Short Sleeve Shirt + Dark Jeans
Cold,Office,Light,Formal Shirt + Sweater
Cold,Office,Light,Turtleneck + Trousers
Hot,Gym,Dark,Dri-Fit Tee + Shorts
Moderate,Party,Light,Solid Shirt + Trousers
Moderate,Casual,Medium,Denim Shirt + Khakis
Hot,Wedding,Light,Light Cotton Kurta
Rainy,Wedding,Light,Short Kurta + Trousers
Rainy,Casual,Dark,Waterproof Jacket + Shorts
Moderate,Office,Light,Formal Shirt + Trousers
Rainy,Casual,Medium,Waterproof Jacket + Shorts
Moderate,Casual,Light,Checkered Shirt + Chinos
Moderate,Office,Light,Formal Shirt + Trousers
Cold,Party,Dark,Velvet Blazer + Trousers
Rainy,Gym,Dark,Synthetic T-shirt + Shorts
Moderate,Office,Dark,Formal Shirt + Trousers
Moderate,Gym,Medium,T-shirt + Track Pants
Hot,Wedding,Light,Linen Suit
Cold,Casual,Light,Sweatshirt + Joggers
